downloads,documentation,link_update
http://www.nyc.gov/html/dcp/download/bytes/mappluto_09v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyct2010wi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_10v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyed_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycgwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_10v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyedwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyccav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_11v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyfb_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyccwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_11v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyfc_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyadav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_12v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyfd_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyadwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_12v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyha_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyssav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_13v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyhc_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nysswiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_13v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyhez_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nymcav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_1999.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nylh_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nymcwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_2000.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nymc_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nybbav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mappluto_2001.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nymcwi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nybbwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mn_mappluto_13v1.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nynta_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycdav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/mn_mappluto13v2.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nypp_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nycdwiav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyad_12c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nysd_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nychez_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyad_13a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nysidewalkcafe_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyntaav_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyad_13b.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nysp_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_facilities_text_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyad_13c.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nysp_sd_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_facilities_shp_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyad_13dav.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyss_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_facilities_fgdb_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyad_14aav.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nysswi_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_facilities_access_001.zip
http://www.nyc.gov/html/dcp/download/bytes/nyadwi_13a.zip,http://www.nyc.gov/html/dcp/pdf/bytes/nyzd_metadata.pdf,http://www.nyc.gov/html/dcp/download/biggapps/DCP_nyc_freshzoning_001.zip
